emp_no,birth_date
10001,1953-09-02
10005,1955-01-21
10011,1953-11-07
10018,1954-06-19
10019,1953-01-23
10022,1952-07-08
10026,1953-04-03
10035,1953-02-08
10051,1953-07-28
10053,1954-09-13
10058,1954-10-01
10059,1953-09-19
10063,1952-08-06
10067,1953-01-07
10070,1955-08-20
10072,1952-05-15
10074,1955-08-28
10076,1952-06-13
10091,1955-10-04
10096,1954-09-16
10100,1953-04-21
10103,1953-11-26
10126,1954-08-07
10127,1952-02-24
10129,1955-12-02
10138,1955-04-24
10150,1955-01-29
10153,1955-12-15
10160,1953-10-18
10177,1954-11-08
10183,1954-10-17
10186,1953-07-16
10189,1955-11-12
10194,1954-01-29
10219,1952-05-02
10224,1954-05-17
10228,1953-04-21
10230,1955-09-11
10240,1952-04-01
10248,1955-09-24
10278,1955-03-09
10282,1953-11-27
10283,1953-07-08
10284,1954-04-08
10294,1955-01-05
10302,1954-10-11
10321,1955-12-12
10326,1953-02-13
10340,1952-08-20
10347,1953-10-03
10349,1954-04-29
10353,1953-01-15
10363,1953-11-28
10364,1954-09-21
10367,1955-12-24
10372,1952-04-08
10374,1955-10-08
10382,1955-06-12
10387,1952-11-03
10396,1955-08-21
10397,1955-11-11
10402,1953-07-23
10407,1955-07-05
10418,1952-06-29
10432,1953-11-06
10443,1952-12-03
10451,1952-10-06
10453,1953-07-19
10486,1952-08-24
10494,1953-12-21
10497,1953-06-09
10517,1953-06-18
10519,1955-12-28
10529,1952-11-21
10538,1955-08-18
10548,1952-06-12
10564,1955-04-14
10575,1954-06-29
10586,1954-06-23
10591,1952-12-22
10608,1955-07-11
10614,1953-07-11
10623,1953-07-11
10624,1955-12-19
10628,1954-04-18
10637,1954-07-11
10639,1953-04-18
10653,1953-06-16
10672,1954-03-23
10676,1953-08-26
10693,1953-12-14
10694,1955-12-16
10696,1952-03-23
10702,1952-11-25
10726,1954-01-11
10741,1954-01-02
10745,1953-10-23
10749,1955-08-21
10751,1952-12-02
10764,1953-01-12
10777,1955-08-11
10780,1955-09-12
10782,1952-09-18
10791,1954-05-27
10795,1954-12-14
10829,1955-07-11
10830,1954-08-17
10833,1953-04-12
10834,1954-12-16
10835,1952-11-23
10844,1954-02-03
10847,1952-03-04
10848,1954-07-16
10849,1953-03-05
10854,1954-08-11
10858,1952-10-01
10867,1952-10-01
10873,1952-07-09
10879,1953-08-18
10895,1952-03-21
10909,1954-11-11
10918,1954-12-26
10920,1955-04-08
10927,1953-03-13
10930,1954-01-13
10944,1952-05-25
10947,1954-09-29
10949,1953-08-14
10956,1955-02-02
10969,1954-09-05
10971,1955-02-08
10974,1952-03-07
10985,1952-05-31
10987,1952-11-26
10988,1955-06-24
10989,1954-09-08
10996,1955-02-01
11002,1952-02-26
11009,1954-08-30
11019,1954-09-06
11021,1954-07-13
11027,1955-12-13
11028,1952-02-23
11031,1954-12-20
11032,1953-04-19
11048,1952-10-26
11051,1952-10-06
11064,1952-08-10
11070,1952-06-30
11075,1954-10-28
11077,1953-01-28
11081,1952-06-20
11083,1954-07-09
11084,1955-07-03
11085,1953-09-08
11091,1952-10-10
11092,1954-09-28
11098,1953-09-11
11100,1955-10-14
11110,1955-12-11
11111,1954-07-14
11112,1954-08-05
11114,1955-09-08
11119,1955-07-09
11130,1953-01-17
11168,1953-05-03
11170,1952-05-05
11177,1954-04-09
11185,1954-04-10
11192,1952-09-06
11195,1953-09-04
11203,1952-06-24
11204,1955-12-15
11206,1954-07-14
11207,1955-08-14
11211,1952-12-11
11217,1954-07-01
11218,1953-06-03
11221,1953-11-29
11229,1953-10-20
11232,1955-09-03
11233,1952-05-08
11251,1955-10-16
11253,1952-09-11
11258,1953-10-12
11267,1955-10-18
11268,1954-05-14
11288,1953-03-23
11291,1953-11-01
11292,1953-05-18
11294,1954-06-11
11296,1954-12-24
11297,1954-03-19
11315,1955-04-21
11319,1955-06-05
11325,1952-02-06
11343,1954-09-10
11347,1954-12-27
11349,1953-09-05
11365,1953-11-17
11373,1953-07-29
11387,1954-07-18
11393,1954-05-17
11404,1954-09-15
11406,1955-04-11
11414,1952-08-08
11415,1953-10-29
11421,1953-11-07
11428,1953-07-08
11431,1954-08-05
11446,1954-06-20
11449,1955-03-30
11460,1955-11-19
11468,1955-12-02
11469,1952-12-01
11474,1953-04-17
11476,1954-06-20
11479,1953-12-02
11515,1955-03-03
11521,1952-06-14
11527,1952-02-06
11528,1955-04-26
11537,1955-06-29
11554,1955-05-28
11567,1954-07-06
11573,1952-12-18
11575,1955-02-22
11581,1953-04-12
11588,1952-07-20
11589,1955-01-10
11595,1953-02-26
11597,1955-04-10
11602,1953-08-09
11615,1955-03-05
11616,1954-07-12
11624,1955-05-16
11640,1953-10-06
11641,1955-10-13
11646,1953-06-22
11664,1955-08-27
11673,1954-12-20
11693,1952-02-15
11733,1954-05-25
11735,1955-02-19
11736,1953-08-21
11738,1954-12-13
11746,1952-05-22
11747,1953-11-27
11755,1954-08-16
11756,1955-02-24
11764,1953-04-22
11765,1955-08-17
11769,1953-07-17
11770,1955-08-26
11772,1954-06-19
11779,1952-06-07
11801,1953-11-22
11805,1953-06-05
11810,1952-12-08
11811,1953-07-05
11817,1955-05-25
11821,1954-10-18
11822,1954-08-30
11829,1952-08-01
11836,1952-09-14
11838,1955-04-13
11842,1954-03-31
11846,1954-04-24
11853,1952-06-19
11857,1955-12-03
11862,1954-01-25
11868,1954-03-02
11869,1955-09-14
11871,1953-05-02
11877,1953-06-15
11881,1952-08-06
11883,1952-05-27
11888,1952-04-05
11894,1954-12-23
11897,1952-11-23
11915,1954-08-16
11917,1955-03-26
11931,1952-10-30
11949,1953-01-27
11951,1955-05-08
11965,1954-12-03
11972,1954-10-01
11980,1955-07-03
11983,1953-01-04
11987,1954-12-29
11988,1953-08-10
11994,1953-02-11
12007,1952-06-18
12008,1953-09-13
12030,1953-06-02
12037,1954-01-11
12040,1955-03-24
12044,1955-08-16
12047,1954-01-16
12054,1954-04-08
12062,1954-01-20
12070,1955-07-23
12076,1955-03-16
12077,1954-11-17
12080,1953-10-16
12089,1954-06-21
12091,1955-02-19
12094,1955-05-02
12103,1955-02-03
12112,1953-07-01
12122,1954-06-27
12125,1953-04-16
12128,1953-09-13
12140,1952-07-30
12148,1952-08-08
12149,1954-10-25
12159,1955-08-15
12164,1954-01-04
12172,1954-04-04
12183,1954-06-29
12186,1952-12-06
12192,1954-11-06
12205,1955-08-24
12213,1952-09-26
12219,1952-07-13
12221,1955-07-14
12222,1953-03-04
12223,1954-07-27
12235,1954-06-05
12247,1952-03-26
12254,1953-04-04
12258,1955-01-06
12264,1953-12-30
12273,1953-11-22
12274,1955-02-01
12276,1955-05-03
12282,1952-02-02
12291,1953-12-28
12298,1954-03-03
12311,1955-02-11
12312,1954-04-06
12317,1952-05-23
12327,1952-05-21
